库,f,w,S,表达式,sign,w归,贡献
h1_s42,649,0.13153440951219408,0.17500000000000004,"ts_min(neg(ts_std(limit_net,3)),3)",-1.0,0.002165495602262251,0.000378961730395894
h1_s42,650,0.023105674574975105,0.1499999999999999,"ts_std(ts_rank(limit_net,60),3)",1.0,0.0003803965583224267,5.7059483748363975e-05
h1_s42,679,0.11024235777608338,0.55,"ts_std(returns,10)",1.0,0.001814957331944372,0.0009982265325694047
h1_s42,705,0.059377512838125895,-0.55,"ts_std(slog(close),10)",1.0,0.0009775521356053345,-0.000537653674582934
h1_s42,708,0.10494423215504707,0.1499999999999999,"ts_slope(ts_std(sub(returns,volume),20),3)",1.0,0.0017277324926408327,0.00025915987389612475
h1_s42,737,0.037783509453882105,-0.8,"ts_std(high,5)",1.0,0.0006220427328776706,-0.0004976341863021365
h1_s42,795,0.06847216954167054,0.0,"ts_std(ts_mean(limit_net,3),3)",1.0,0.0011272805539610275,0.0
h1_s42,796,0.1178214287325782,0.5,"ts_std(ts_std(ts_decay_linear(ts_std(limit_net,3),10),3),3)",1.0,0.001939734148036754,0.000969867074018377
h1_s42,798,0.10988888737546176,-0.35,"ts_std(ts_std(limit_net,3),5)",1.0,0.0018091380288364272,-0.0006331983100927495
h1_s42,838,0.10363377764883312,0.55,"div(ssqrt(ts_decay_linear(low,3)),ssqrt(ts_sum(disp,5)))",-1.0,0.001706158035579025,0.0009383869195684637
h1_s42,872,0.08745588688253335,-0.85,"ts_std(close,5)",1.0,0.0014398159321079675,-0.0012238435422917723
h1_s42,873,0.08269242178760185,0.050000000000000044,"ts_std(ts_std(ts_std(limit_net,3),3),3)",1.0,0.0013613933904106361,6.806966952053187e-05
h1_s42,907,0.0440344852771569,0.25,"ts_decay_linear(div(abs(returns),beta120),10)",1.0,0.000724954668281876,0.000181238667070469
h1_s42,908,0.003260691218278446,0.02499999999999991,"sub(ts_argmax(beta120,3),delay(add(ts_min(low,120),ts_rank(n",1.0,5.368186560234274e-05,1.3420466400585639e-06
h1_s42,909,0.09487351984616468,-0.95,"ts_std(open,10)",1.0,0.0015619349397616264,-0.001483838192773545
h1_s42,912,0.06781210436726773,-0.8,"ts_zscore(ts_max(disp,5),244)",1.0,0.001116413677090734,-0.0008931309416725874
h1_s42,914,0.04418376420995608,0.8500000000000001,"delta(ts_std(returns,20),120)",1.0,0.0007274122979902229,0.0006183004532916895
h1_s42,942,0.07281148674495899,0.1499999999999999,"ts_sum(abs(returns),5)",1.0,0.0011987202050408533,0.0001798080307561279
