,p六库,恐慌,仓位,收益,标的开→开,货基,库数
2015-11-05,0.3275177215477912,0,0.0,0.00010679093247900617,,0.00010679093247900617,4
2015-11-06,-0.035920224302128316,0,0.0,9.707229944866391e-05,,9.707229944866391e-05,4
2015-11-09,-0.20656979965095537,0,0.0,3.88251509328974e-05,,3.88251509328974e-05,4
2015-11-10,-0.6767595661520546,0,0.0,0.0002717655051927004,,0.0002717655051927004,4
2015-11-11,-0.6788970957029744,0,0.0,0.00014554910826891643,,0.00014554910826891643,4
2015-11-12,-0.8336964205892095,0,0.0,8.731675608553147e-05,,8.731675608553147e-05,4
2015-11-13,-0.6337598787714384,0,0.0,0.0001552162356182052,,0.0001552162356182052,4
2015-11-16,0.25863989007490523,0,0.0,6.789656443384473e-05,,6.789656443384473e-05,4
2015-11-17,-0.18877533166062826,0,0.0,8.728965617565976e-05,,8.728965617565976e-05,4
2015-11-18,0.6840620761815639,0,0.0,9.698004150737738e-05,,9.698004150737738e-05,4
2015-11-19,0.673041017680749,0,0.0,6.787944610398e-05,,6.787944610398e-05,4
2015-11-20,0.35486004265498494,0,0.0,0.00012605327205217343,,0.00012605327205217343,4
2015-11-23,0.4730143970031194,0,0.0,0.00018420848522437971,,0.00018420848522437971,4
2015-11-24,0.5742253216406551,0,0.0,1.9386795653497657e-05,,1.9386795653497657e-05,4
2015-11-25,0.4175788007966472,0,0.0,5.8159259438861355e-05,,5.8159259438861355e-05,4
2015-11-26,0.11273862266353805,0,0.0,3.877058475709738e-05,,3.877058475709738e-05,4
2015-11-27,0.7422912219891504,0,0.0,3.876908165745263e-05,,3.876908165745263e-05,4
2015-11-30,0.6153253018693033,0,0.0,0.0,,0.0,4
2015-12-01,0.6628180609001748,0,0.0,0.0003392360404368411,,0.0003392360404368411,4
2015-12-02,0.7932769716940788,0,0.0,8.720254243832493e-05,,8.720254243832493e-05,4
2015-12-03,0.6556475011847559,0,0.0,0.00013563657149506803,,0.00013563657149506803,4
2015-12-04,0.05596276831970029,0,0.0,0.00018405323982162436,,0.00018405323982162436,4
2015-12-07,0.11487267013458566,0,0.0,0.00016464891041167995,,0.00016464891041167995,4
2015-12-08,0.558403862668491,0,0.0,9.68363562414698e-05,,9.68363562414698e-05,4
2015-12-09,0.4240213144320514,0,0.0,0.0,,0.0,4
2015-12-10,-0.010111542629776836,0,0.0,9.683541852290034e-05,,9.683541852290034e-05,4
2015-12-11,0.410099346588913,0,0.0,0.00016460427196474114,,0.00016460427196474114,4
2015-12-14,0.3501805482194268,0,0.0,0.00010649111767269126,,0.00010649111767269126,4
2015-12-15,-0.3073412280125526,0,0.0,7.743983892516404e-05,,7.743983892516404e-05,4
2015-12-16,0.12357480388930044,0,0.0,0.0001548676849216779,,0.0001548676849216779,4
2015-12-17,0.6149259060891379,0,0.0,6.774412077814596e-05,,6.774412077814596e-05,4
2015-12-18,0.5630723017203607,0,0.0,0.0001741873675451533,,0.0001741873675451533,4
2015-12-21,0.2915410561229397,0,0.0,9.675390643781867e-06,,9.675390643781867e-06,4
2015-12-22,-0.07255754265431899,0,0.0,0.0,,0.0,4
2015-12-23,0.015944654639411582,0,0.0,8.708188600015099e-05,,8.708188600015099e-05,4
2015-12-24,0.08885969815755579,0,0.0,5.8049535603732494e-05,,5.8049535603732494e-05,4
2015-12-25,0.20899891776248164,0,0.0,0.000241859025211566,,0.000241859025211566,4
2015-12-28,0.6931413308318123,0,0.0,0.00014508032614046762,,0.00014508032614046762,4
2015-12-29,0.4805985873936979,0,0.0,0.00014505928089292297,,0.00014505928089292297,4
2015-12-30,0.3420283615096309,0,0.0,1.933843223311804e-05,,1.933843223311804e-05,4
2015-12-31,0.6340961101248401,0,0.0,0.00033967391304345895,,0.00033967391304345895,4
2016-01-04,0.9053297469525579,0,0.0,0.0,,0.0,4
2016-01-05,0.8809809075117822,0,0.0,0.000479520479520712,,0.000479520479520712,4
2016-01-06,0.7815703242012675,0,0.0,8.98669968447674e-05,,8.98669968447674e-05,4
